"variable_id","mz","rt","mzmin","mzmax","rtmin","rtmax","ms2_files_id","ms2_spectrum_id","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level","logFC","AveExpr","t","P.Value","adj.P.Val","B","control1","control2","control3","MethiocarbB1","MethiocarbB2","MethiocarbB3","Significance"
"M343T305_POS",343.129873077167,304.589294433594,343.129683083195,343.130180377035,302.644989013672,307.399871826172,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz343.1301rt304.396","4-Benzyl-7-methoxy-3-phenylcoumarin","147198-49-0",NA,NA,"NO04662","(M+H)+",6.99999999994816,0.896830059748315,NA,NA,"20",0.608644830531266,0.71671429148766,"NIST_0.0.1",2,0.342973738085328,6.28896325620523,3.90240122175259,0.00654854622621312,0.115723183738227,-2.07551153823712,1076825.50281011,1060592.0852609,1971221.58973229,2698248.91187297,3127506.00864028,2851479.22900206,"Up"
"M346T686_2_POS",346.273726463754,685.543334960938,346.27352658823,346.274152542849,683.8017578125,698.255920410156,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz346.27115194rt656.739","Himbacine","6879-74-9","HMDB0253171","C10598","BML81392","(M+H)+",7.31764999997608,0.887811743580094,NA,NA,"Unknown_1",0.635547358650377,0.730146502999021,"MassBank_2022-04-27",2,0.305800753017285,8.39522716323493,2.97294739259818,0.0220912962417495,0.177206718865663,-3.29831082116627,107388745.190702,199961998.299798,248355695.591142,345483062.677674,314735205.993222,405518370.315078,"Up"
"M348T592_POS",348.288960160206,592.110473632812,348.28878745692,348.289075276438,588.753540039062,593.388366699219,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz348.28673982rt621.439","Anandamide","94421-68-8","HMDB0004080","C11695","RP004101","(M+H)+",7.47544999995853,0.883218191859722,NA,NA,"10",0.530121588140963,0.662532814535498,"MassBank_2022-04-27",2,0.262634379181859,5.86840254939246,2.65548975038645,0.0343720941313823,0.208230878028734,-3.73918423369056,419506.883860307,557053.487185813,696017.389657015,962060.465217242,721061.293476562,1438747.77658389,"Up"
"M348T61_2_POS",348.0701162244,60.9914741516113,348.070012275274,348.070167690101,60.944,61.9045181274414,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz348.07010451rt59.3752","3'-AMP","84-21-9","HMDB0003540","C01367","HMDB0003540_3_shen","(M+H)+",0.699572499911483,0.998913031883538,NA,NA,"35",0.726762997316092,0.828819260278884,"HMDB_2022-04-11",2,-0.487878715881809,8.28348170079488,-6.6171684907345,0.000378651208309119,0.0761289243880523,0.709593296547811,442103545.255668,272246876.062043,317523792.819395,103570862.424898,122123826.579806,103893656.677516,"Down"
"M349T61_1_POS",349.054279252339,61.4088687896729,349.054107991876,349.054549954403,60.944,61.9045181274414,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz349.05401044rt83.3799","Inosine 5'-monophosphate","131-99-7","HMDB00175","C00130","NO04840","(M+H)+",0.973899999934247,0.997894483693833,NA,NA,"45",0.783779094627185,0.864072365527178,"NIST_0.0.1",2,-0.444426350751468,7.31850538594684,-3.49588353159973,0.0109737771075253,0.134948401440717,-2.59514524409236,31825801.8895401,35879309.5848315,36688693.9106133,8080179.4056346,9862666.50635891,24404014.8091394,"Down"
"M349T753_POS",349.183080582896,753.196624755859,349.182932940801,349.183243286452,746.967468261719,757.749816894531,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz349.18134079rt734.561","Imidocarb",NA,"HMDB0253427",NA,"HMDB0253427_12_shen","(M+H)+",10.4537549999861,0.784391789113276,NA,NA,"Unknown_1",0.607418394884057,0.673783417720014,"HMDB_2022-04-11",2,-0.313829566482717,7.20382240150892,-2.61501859273442,0.036393427407982,0.211680415352053,-3.79584607077019,40900970.3560277,13690855.5541124,21579796.9636451,10331459.7789416,11599059.4917499,11538208.6858746,"Down"
"M352T317_POS",352.163725115917,317.365264892578,352.153945833355,352.165873625148,307.367004394531,327.505,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz352.16594804rt317.968","Phe-Gly-Phe","87742-85-6",NA,NA,"NO05335","(M+H-H2O)+",0.870100000014418,0.99831902773023,NA,NA,"55",0.563017209529083,0.726255391354513,"NIST_0.0.1",2,0.359440762903299,6.17598337952159,4.26588670481953,0.00421574046391519,0.101988424533665,-1.63360102272643,702849.580055719,1358809.77415034,1020394.10832559,2093850.29450416,2347085.19301953,2374853.37899843,"Up"
"M356T589_POS",356.351798069635,588.664825439453,356.351696005223,356.351849276097,577.105895996094,596.452,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz356.35170529rt581.219","Arachidoyl Ethanolamide",NA,"HMDB0248559",NA,"RP002401","(M+H)+",1.56177500002741,0.994594349726523,NA,NA,"10",0.544543692622121,0.713312689036272,"MassBank_2022-04-27",2,-0.500617850241365,7.13371632842388,-5.54541784697377,0.00104119938099242,0.0839449412027519,-0.252929290316913,22809164.3844178,28057714.1981634,22177577.133079,7320140.13284317,11109516.1382367,5495505.80172619,"Down"
"M359T651_POS",359.257599911718,650.840881347656,359.257422560951,359.257651995623,649.014,655.675720214844,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz359.25797087rt646.434","8,11-Tridecadienoic acid, 13-(3-pentyl-2-oxiranyl)-, methyl ester, (8Z,11Z)-",NA,"METPA0001",NA,"NO04497","(M+Na)+",5.67717500004505,0.930881842467264,NA,NA,"60",0.533562071649536,0.682556985706184,"NIST_0.0.1",2,-0.320910765057656,7.32738221577153,-3.69281654613089,0.00851894860356306,0.124215111573157,-2.34017903132473,20631537.2230442,36749348.1776312,38347015.2975403,13579691.6131958,15882773.0186771,14688054.077594,"Down"
"M361T311_POS",361.1470257733,310.872770263672,361.146900984401,361.147315424233,309.280944824219,313.994842529297,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz361.147412rt312.424","Gly-Gly-Gly-Gly-Gly-Gly","3887-13-6",NA,NA,"NO05144","(M+H)+",2.02999999999065,0.990884247155537,NA,NA,"10",0.553439175845338,0.717481077586662,"NIST_0.0.1",2,-0.272451613856905,6.05857375222322,-4.64603245185517,0.00271645113983221,0.0918216854500565,-1.19518018799366,1590933.2637937,1670604.65111679,1445017.24137078,821442.931693551,756414.438435269,941253.553612899,"Down"
